theta;force;class
30;0.5;errou
30;0.501;errou
30;0.502;errou
30;0.503;errou
30;0.504;errou
30;0.505;errou
30;0.506;errou
30;0.507;errou
30;0.508;errou
30;0.509;errou
30;0.51;errou
30;0.511;errou
30;0.512;errou
30;0.513;errou
30;0.514;errou
30;0.515;errou
30;0.516;errou
30;0.517;errou
30;0.518;errou
30;0.519;errou
30;0.52;errou
30;0.521;errou
30;0.522;errou
30;0.523;errou
30;0.524;errou
30;0.525;errou
30;0.526;errou
30;0.527;errou
30;0.528;errou
30;0.529;errou
30;0.53;errou
30;0.531;errou
30;0.532;errou
30;0.533;errou
30;0.534;errou
30;0.535;errou
30;0.536;errou
30;0.537;errou
30;0.538;errou
30;0.539;errou
30;0.54;errou
30;0.541;errou
30;0.542;errou
30;0.543;errou
30;0.544;errou
30;0.545;errou
30;0.546;errou
30;0.547;errou
30;0.548;errou
30;0.549;errou
30;0.55;errou
30;0.551;errou
30;0.552;errou
30;0.553;errou
30;0.554;errou
30;0.555;errou
30;0.556;errou
30;0.557;errou
30;0.558;errou
30;0.559;errou
30;0.56;errou
30;0.561;errou
30;0.562;errou
30;0.563;errou
30;0.564;errou
30;0.565;errou
30;0.566;errou
30;0.567;errou
30;0.568;errou
30;0.569;errou
30;0.57;errou
30;0.571;errou
30;0.572;errou
30;0.573;errou
30;0.574;errou
30;0.575;errou
30;0.576;errou
30;0.577;errou
30;0.578;errou
30;0.579;errou
30;0.58;errou
30;0.581;errou
30;0.582;errou
30;0.583;errou
30;0.584;errou
30;0.585;errou
30;0.586;errou
30;0.587;errou
30;0.588;errou
30;0.589;errou
30;0.59;errou
30;0.591;errou
30;0.592;errou
30;0.593;errou
30;0.594;errou
30;0.595;errou
30;0.596;errou
30;0.597;errou
30;0.598;errou
30;0.599;errou
31;0.5;errou
31;0.501;errou
31;0.502;errou
31;0.503;errou
31;0.504;errou
31;0.505;errou
31;0.506;errou
31;0.507;errou
31;0.508;errou
31;0.509;errou
31;0.51;errou
31;0.511;errou
31;0.512;errou
31;0.513;errou
31;0.514;errou
31;0.515;errou
31;0.516;errou
31;0.517;errou
31;0.518;errou
31;0.519;errou
31;0.52;errou
31;0.521;errou
31;0.522;errou
31;0.523;errou
31;0.524;errou
31;0.525;errou
31;0.526;errou
31;0.527;errou
31;0.528;errou
31;0.529;errou
31;0.53;errou
31;0.531;errou
31;0.532;errou
31;0.533;errou
31;0.534;errou
31;0.535;errou
31;0.536;errou
31;0.537;errou
