theta; force; class
0.0;0.0;longe
0.0;0.001;longe
0.0;0.002;longe
0.0;0.003;longe
0.0;0.004;longe
0.0;0.005;longe
0.0;0.006;longe
0.0;0.007;longe
0.0;0.008;longe
0.0;0.009;longe
0.0;0.01;longe
0.0;0.011;longe
0.0;0.012;longe
0.0;0.013;longe
0.0;0.014;longe
0.0;0.015;longe
0.0;0.016;longe
0.0;0.017;longe
0.0;0.018;longe
0.0;0.019;longe
0.0;0.02;longe
0.0;0.021;longe
0.0;0.022;longe
0.0;0.023;longe
0.0;0.024;longe
0.0;0.025;longe
0.0;0.026;longe
0.0;0.027;longe
0.0;0.028;longe
0.0;0.029;longe
0.0;0.03;longe
0.0;0.031;longe
0.0;0.032;longe
0.0;0.033;longe
0.0;0.034;longe
0.0;0.035;longe
0.0;0.036;longe
0.0;0.037;longe
0.0;0.038;longe
0.0;0.039;longe
0.0;0.04;longe
0.0;0.041;longe
0.0;0.042;longe
0.0;0.043;longe
0.0;0.044;longe
0.0;0.045;longe
0.0;0.046;longe
0.0;0.047;longe
0.0;0.048;longe
0.0;0.049;longe
0.0;0.05;longe
0.0;0.051;longe
0.0;0.052;longe
0.0;0.053;longe
0.0;0.054;longe
0.0;0.055;longe
0.0;0.056;longe
0.0;0.057;longe
0.0;0.058;longe
0.0;0.059;longe
0.0;0.06;longe
0.0;0.061;longe
0.0;0.062;longe
0.0;0.063;longe
0.0;0.064;longe
0.0;0.065;longe
0.0;0.066;longe
0.0;0.067;longe
0.0;0.068;longe
0.0;0.069;longe
0.0;0.07;longe
0.0;0.071;longe
0.0;0.072;longe
0.0;0.073;longe
0.0;0.074;longe
0.0;0.075;longe
0.0;0.076;longe
0.0;0.077;longe
0.0;0.078;longe
0.0;0.079;longe
0.0;0.08;longe
0.0;0.081;longe
0.0;0.082;longe
0.0;0.083;longe
0.0;0.084;longe
0.0;0.085;longe
0.0;0.086;longe
0.0;0.087;longe
0.0;0.088;longe
0.0;0.089;longe
0.0;0.09;longe
0.0;0.091;longe
0.0;0.092;longe
0.0;0.093;longe
0.0;0.094;longe
0.0;0.095;longe
0.0;0.096;longe
0.0;0.097;longe
0.0;0.098;longe
0.0;0.099;longe
0.0;0.1;longe
0.0;0.101;longe
0.0;0.102;longe
0.0;0.103;longe
0.0;0.104;longe
0.0;0.105;longe
0.0;0.106;longe
0.0;0.107;longe
0.0;0.108;longe
0.0;0.109;longe
0.0;0.11;longe
0.0;0.111;longe
0.0;0.112;longe
0.0;0.113;longe
0.0;0.114;longe
0.0;0.115;longe
0.0;0.116;longe
0.0;0.117;longe
0.0;0.118;longe
0.0;0.119;longe
0.0;0.12;longe
0.0;0.121;longe
0.0;0.122;longe
0.0;0.123;longe
0.0;0.124;longe
0.0;0.125;longe
0.0;0.126;longe
0.0;0.127;longe
0.0;0.128;longe
0.0;0.129;longe
0.0;0.13;longe
0.0;0.131;longe
0.0;0.132;longe
0.0;0.133;longe
0.0;0.134;longe
0.0;0.135;longe
0.0;0.136;longe
0.0;0.137;longe
0.0;0.138;longe
0.0;0.139;longe
0.0;0.14;longe
0.0;0.141;longe
0.0;0.142;longe
0.0;0.143;longe
0.0;0.144;longe
0.0;0.145;longe
0.0;0.146;longe
0.0;0.147;longe
0.0;0.148;longe
0.0;0.149;longe
0.0;0.15;longe
0.0;0.151;longe
0.0;0.152;longe
0.0;0.153;longe
0.0;0.154;longe
0.0;0.155;longe
0.0;0.156;longe
0.0;0.157;longe
0.0;0.158;longe
0.0;0.159;longe
0.0;0.16;longe
0.0;0.161;longe
0.0;0.162;longe
0.0;0.163;longe
0.0;0.164;longe
0.0;0.165;longe
0.0;0.166;longe
0.0;0.167;longe
0.0;0.168;longe
0.0;0.169;longe
0.0;0.17;longe
0.0;0.171;longe
0.0;0.172;longe
0.0;0.173;longe
0.0;0.174;longe
0.0;0.175;longe
0.0;0.176;longe
0.0;0.177;longe
0.0;0.178;longe
0.0;0.179;longe
0.0;0.18;longe
0.0;0.181;longe
0.0;0.182;longe
0.0;0.183;longe
0.0;0.184;longe
0.0;0.185;longe
0.0;0.186;longe
0.0;0.187;longe
0.0;0.188;longe
0.0;0.189;longe
0.0;0.19;longe
0.0;0.191;longe
0.0;0.192;longe
0.0;0.193;longe
0.0;0.194;longe
0.0;0.195;longe
0.0;0.196;longe
0.0;0.197;longe
0.0;0.198;longe
0.0;0.199;longe
0.0;0.2;longe
0.0;0.201;longe
0.0;0.202;longe
0.0;0.203;longe
0.0;0.204;longe
0.0;0.205;longe
0.0;0.206;longe
0.0;0.207;longe
0.0;0.208;longe
0.0;0.209;longe
0.0;0.21;longe
0.0;0.211;longe
0.0;0.212;longe
0.0;0.213;longe
0.0;0.214;longe
0.0;0.215;longe
0.0;0.216;longe
0.0;0.217;longe
0.0;0.218;longe
0.0;0.219;longe
0.0;0.22;longe
0.0;0.221;longe
0.0;0.222;longe
0.0;0.223;longe
0.0;0.224;longe
0.0;0.225;longe
0.0;0.226;longe
0.0;0.227;longe
0.0;0.228;longe
0.0;0.229;longe
0.0;0.23;longe
0.0;0.231;longe
0.0;0.232;longe
0.0;0.233;longe
0.0;0.234;longe
0.0;0.235;longe
0.0;0.236;longe
0.0;0.237;longe
0.0;0.238;longe
0.0;0.239;longe
0.0;0.24;longe
0.0;0.241;longe
0.0;0.242;longe
0.0;0.243;longe
0.0;0.244;longe
0.0;0.245;longe
0.0;0.246;longe
0.0;0.247;longe
0.0;0.248;longe
0.0;0.249;longe
0.0;0.25;longe
0.0;0.251;longe
0.0;0.252;longe
0.0;0.253;longe
0.0;0.254;longe
0.0;0.255;longe
0.0;0.256;longe
0.0;0.257;longe
0.0;0.258;longe
0.0;0.259;longe
0.0;0.26;longe
0.0;0.261;longe
0.0;0.262;longe
0.0;0.263;longe
0.0;0.264;longe
0.0;0.265;longe
0.0;0.266;longe
0.0;0.267;longe
0.0;0.268;longe
0.0;0.269;longe
0.0;0.27;longe
0.0;0.271;longe
0.0;0.272;longe
0.0;0.273;longe
0.0;0.274;longe
0.0;0.275;longe
0.0;0.276;longe
0.0;0.277;longe
0.0;0.278;longe
0.0;0.279;longe
0.0;0.28;longe
0.0;0.281;longe
0.0;0.282;longe
0.0;0.283;longe
0.0;0.284;longe
0.0;0.285;longe
0.0;0.286;longe
0.0;0.287;longe
0.0;0.288;longe
0.0;0.289;longe
0.0;0.29;longe
0.0;0.291;longe
0.0;0.292;longe
0.0;0.293;longe
0.0;0.294;longe
0.0;0.295;longe
0.0;0.296;longe
0.0;0.297;longe
0.0;0.298;longe
0.0;0.299;longe
0.0;0.3;longe
0.0;0.301;longe
0.0;0.302;longe
0.0;0.303;longe
0.0;0.304;longe
0.0;0.305;longe
0.0;0.306;longe
0.0;0.307;longe
0.0;0.308;longe
0.0;0.309;longe
0.0;0.31;longe
0.0;0.311;longe
0.0;0.312;longe
0.0;0.313;longe
0.0;0.314;longe
0.0;0.315;longe
0.0;0.316;longe
0.0;0.317;longe
0.0;0.318;longe
0.0;0.319;longe
0.0;0.32;longe
0.0;0.321;longe
0.0;0.322;longe
0.0;0.323;longe
0.0;0.324;longe
0.0;0.325;longe
0.0;0.326;longe
0.0;0.327;longe
0.0;0.328;longe
0.0;0.329;longe
0.0;0.33;longe
0.0;0.331;longe
0.0;0.332;longe
0.0;0.333;longe
0.0;0.334;longe
0.0;0.335;longe
0.0;0.336;longe
0.0;0.337;longe
0.0;0.338;longe
0.0;0.339;longe
0.0;0.34;longe
0.0;0.341;longe
0.0;0.342;longe
0.0;0.343;longe
0.0;0.344;longe
0.0;0.345;longe
0.0;0.346;longe
0.0;0.347;longe
0.0;0.348;longe
0.0;0.349;longe
0.0;0.35;longe
0.0;0.351;longe
0.0;0.352;longe
0.0;0.353;longe
0.0;0.354;longe
0.0;0.355;longe
0.0;0.356;longe
0.0;0.357;longe
0.0;0.358;longe
0.0;0.359;longe
0.0;0.36;longe
0.0;0.361;longe
0.0;0.362;longe
0.0;0.363;longe
0.0;0.364;longe
0.0;0.365;longe
0.0;0.366;longe
0.0;0.367;longe
0.0;0.368;longe
0.0;0.369;longe
0.0;0.37;longe
0.0;0.371;longe
0.0;0.372;longe
0.0;0.373;longe
0.0;0.374;longe
0.0;0.375;longe
0.0;0.376;longe
0.0;0.377;longe
0.0;0.378;longe
0.0;0.379;longe
0.0;0.38;longe
0.0;0.381;longe
0.0;0.382;longe
0.0;0.383;longe
0.0;0.384;longe
0.0;0.385;longe
0.0;0.386;longe
0.0;0.387;longe
0.0;0.388;longe
0.0;0.389;longe
0.0;0.39;longe
0.0;0.391;longe
0.0;0.392;longe
0.0;0.393;longe
0.0;0.394;longe
0.0;0.395;longe
0.0;0.396;longe
0.0;0.397;longe
0.0;0.398;longe
0.0;0.399;longe
0.0;0.4;longe
0.0;0.401;longe
0.0;0.402;longe
0.0;0.403;longe
0.0;0.404;longe
0.0;0.405;longe
0.0;0.406;longe
0.0;0.407;longe
0.0;0.408;longe
0.0;0.409;longe
0.0;0.41;longe
0.0;0.411;longe
0.0;0.412;longe
0.0;0.413;longe
0.0;0.414;longe
0.0;0.415;longe
0.0;0.416;longe
0.0;0.417;longe
0.0;0.418;longe
0.0;0.419;longe
0.0;0.42;longe
0.0;0.421;longe
0.0;0.422;longe
0.0;0.423;longe
0.0;0.424;longe
0.0;0.425;longe
0.0;0.426;longe
0.0;0.427;longe
0.0;0.428;longe
0.0;0.429;longe
0.0;0.43;longe
0.0;0.431;longe
0.0;0.432;longe
0.0;0.433;longe
0.0;0.434;longe
0.0;0.435;longe
0.0;0.436;longe
0.0;0.437;longe
0.0;0.438;longe
0.0;0.439;longe
0.0;0.44;longe
0.0;0.441;longe
0.0;0.442;longe
0.0;0.443;longe
0.0;0.444;longe
0.0;0.445;longe
0.0;0.446;longe
0.0;0.447;longe
0.0;0.448;longe
0.0;0.449;longe
0.0;0.45;longe
0.0;0.451;longe
0.0;0.452;longe
0.0;0.453;longe
0.0;0.454;longe
0.0;0.455;longe
0.0;0.456;longe
0.0;0.457;longe
0.0;0.458;longe
0.0;0.459;longe
0.0;0.46;longe
0.0;0.461;longe
0.0;0.462;longe
0.0;0.463;longe
0.0;0.464;longe
0.0;0.465;longe
0.0;0.466;longe
0.0;0.467;longe
0.0;0.468;longe
0.0;0.469;longe
0.0;0.47;longe
0.0;0.471;longe
0.0;0.472;longe
0.0;0.473;longe
0.0;0.474;longe
0.0;0.475;longe
0.0;0.476;longe
0.0;0.477;longe
0.0;0.478;longe
0.0;0.479;longe
0.0;0.48;longe
0.0;0.481;longe
0.0;0.482;longe
0.0;0.483;longe
0.0;0.484;longe
0.0;0.485;longe
0.0;0.486;longe
0.0;0.487;longe
0.0;0.488;longe
