theta;f;class
10;0.5;longe
10;0.51;longe
10;0.52;longe
10;0.53;longe
10;0.54;longe
10;0.55;longe
10;0.56;longe
10;0.57;longe
10;0.58;longe
10;0.59;longe
10;0.6;longe
10;0.61;longe
10;0.62;longe
10;0.63;longe
10;0.64;longe
10;0.65;longe
10;0.66;longe
10;0.67;longe
10;0.68;longe
10;0.69;longe
10;0.7;longe
10;0.71;longe
10;0.72;longe
10;0.73;longe
10;0.74;longe
10;0.75;longe
10;0.76;longe
10;0.77;longe
10;0.78;longe
10;0.79;longe
10;0.8;longe
10;0.81;longe
10;0.82;longe
10;0.83;longe
10;0.84;longe
10;0.85;longe
10;0.86;longe
10;0.87;longe
10;0.88;longe
10;0.89;longe
10;0.9;longe
10;0.91;longe
10;0.92;longe
10;0.93;longe
10;0.94;longe
10;0.95;longe
10;0.96;longe
10;0.97;longe
10;0.98;longe
10;0.99;longe
11;0.5;longe
11;0.51;longe
11;0.52;longe
11;0.53;longe
11;0.54;longe
11;0.55;longe
11;0.56;longe
11;0.57;longe
11;0.58;longe
11;0.59;longe
11;0.6;longe
11;0.61;longe
11;0.62;longe
11;0.63;longe
11;0.64;longe
11;0.65;longe
11;0.66;longe
11;0.67;longe
11;0.68;longe
11;0.69;longe
11;0.7;longe
11;0.71;longe
11;0.72;longe
11;0.73;longe
11;0.74;longe
11;0.75;longe
11;0.76;longe
11;0.77;longe
11;0.78;longe
11;0.79;longe
11;0.8;longe
11;0.81;longe
11;0.82;longe
11;0.83;longe
11;0.84;longe
11;0.85;longe
11;0.86;longe
11;0.87;longe
11;0.88;longe
11;0.89;longe
11;0.9;longe
11;0.91;longe
11;0.92;longe
11;0.93;longe
11;0.94;longe
11;0.95;longe
11;0.96;longe
11;0.97;longe
11;0.98;longe
11;0.99;longe
12;0.5;longe
12;0.51;longe
12;0.52;longe
12;0.53;longe
12;0.54;longe
12;0.55;longe
12;0.56;longe
12;0.57;longe
12;0.58;longe
12;0.59;longe
12;0.6;longe
12;0.61;longe
12;0.62;longe
12;0.63;longe
12;0.64;longe
12;0.65;longe
12;0.66;longe
12;0.67;longe
12;0.68;longe
12;0.69;longe
12;0.7;longe
12;0.71;longe
12;0.72;longe
12;0.73;longe
12;0.74;longe
12;0.75;longe
12;0.76;longe
12;0.77;longe
12;0.78;longe
12;0.79;longe
12;0.8;longe
12;0.81;longe
12;0.82;longe
12;0.83;longe
12;0.84;longe
12;0.85;longe
12;0.86;longe
12;0.87;longe
12;0.88;longe
12;0.89;longe
12;0.9;longe
12;0.91;longe
12;0.92;longe
12;0.93;longe
12;0.94;longe
12;0.95;longe
12;0.96;longe
12;0.97;longe
12;0.98;longe
12;0.99;longe
13;0.5;longe
13;0.51;longe
13;0.52;longe
13;0.53;longe
13;0.54;longe
13;0.55;longe
13;0.56;longe
13;0.57;longe
13;0.58;longe
13;0.59;longe
13;0.6;longe
13;0.61;longe
13;0.62;longe
13;0.63;longe
13;0.64;longe
13;0.65;longe
13;0.66;longe
13;0.67;longe
13;0.68;longe
13;0.69;longe
13;0.7;longe
13;0.71;longe
13;0.72;longe
13;0.73;longe
13;0.74;longe
13;0.75;longe
13;0.76;longe
13;0.77;longe
13;0.78;longe
13;0.79;longe
13;0.8;longe
13;0.81;longe
13;0.82;longe
13;0.83;longe
13;0.84;longe
13;0.85;longe
13;0.86;longe
13;0.87;longe
13;0.88;longe
13;0.89;longe
13;0.9;longe
13;0.91;longe
13;0.92;longe
13;0.93;longe
13;0.94;longe
13;0.95;longe
13;0.96;longe
13;0.97;longe
13;0.98;longe
13;0.99;longe
14;0.5;longe
14;0.51;longe
14;0.52;longe
14;0.53;longe
14;0.54;longe
14;0.55;longe
14;0.56;longe
14;0.57;longe
14;0.58;longe
14;0.59;longe
14;0.6;longe
14;0.61;longe
14;0.62;longe
14;0.63;longe
14;0.64;longe
14;0.65;longe
14;0.66;longe
14;0.67;longe
14;0.68;longe
14;0.69;longe
14;0.7;longe
14;0.71;longe
14;0.72;longe
14;0.73;longe
14;0.74;longe
14;0.75;longe
14;0.76;longe
14;0.77;longe
14;0.78;longe
14;0.79;longe
14;0.8;longe
14;0.81;longe
14;0.82;longe
14;0.83;longe
14;0.84;longe
14;0.85;longe
14;0.86;longe
14;0.87;longe
14;0.88;longe
14;0.89;longe
14;0.9;longe
14;0.91;longe
14;0.92;longe
14;0.93;longe
14;0.94;longe
14;0.95;longe
14;0.96;longe
14;0.97;longe
14;0.98;longe
14;0.99;longe
15;0.5;longe
15;0.51;longe
15;0.52;longe
15;0.53;longe
15;0.54;longe
15;0.55;longe
15;0.56;longe
15;0.57;longe
15;0.58;longe
15;0.59;longe
15;0.6;longe
15;0.61;longe
15;0.62;longe
15;0.63;longe
15;0.64;longe
15;0.65;longe
15;0.66;longe
15;0.67;longe
15;0.68;longe
15;0.69;longe
15;0.7;longe
15;0.71;longe
15;0.72;longe
15;0.73;longe
15;0.74;longe
15;0.75;longe
15;0.76;longe
15;0.77;longe
15;0.78;longe
15;0.79;longe
15;0.8;longe
15;0.81;longe
15;0.82;longe
15;0.83;longe
15;0.84;longe
15;0.85;longe
15;0.86;longe
15;0.87;longe
15;0.88;longe
15;0.89;longe
15;0.9;longe
15;0.91;longe
15;0.92;longe
15;0.93;longe
15;0.94;longe
15;0.95;longe
15;0.96;longe
15;0.97;longe
15;0.98;longe
15;0.99;longe
16;0.5;longe
16;0.51;longe
16;0.52;longe
16;0.53;longe
16;0.54;longe
16;0.55;longe
16;0.56;longe
16;0.57;longe
16;0.58;longe
16;0.59;longe
16;0.6;longe
16;0.61;longe
16;0.62;longe
16;0.63;longe
16;0.64;longe
16;0.65;longe
16;0.66;longe
16;0.67;longe
16;0.68;longe
16;0.69;longe
16;0.7;longe
16;0.71;longe
16;0.72;longe
16;0.73;longe
16;0.74;longe
16;0.75;longe
16;0.76;longe
16;0.77;longe
16;0.78;longe
16;0.79;longe
16;0.8;longe
16;0.81;longe
16;0.82;longe
16;0.83;longe
16;0.84;longe
16;0.85;longe
16;0.86;longe
16;0.87;longe
16;0.88;longe
16;0.89;longe
16;0.9;longe
16;0.91;longe
16;0.92;longe
16;0.93;longe
16;0.94;longe
16;0.95;longe
16;0.96;longe
16;0.97;longe
16;0.98;longe
16;0.99;longe
17;0.5;longe
17;0.51;longe
17;0.52;longe
17;0.53;longe
17;0.54;longe
17;0.55;longe
17;0.56;longe
17;0.57;longe
17;0.58;longe
17;0.59;longe
17;0.6;longe
17;0.61;longe
17;0.62;longe
17;0.63;longe
17;0.64;longe
17;0.65;longe
17;0.66;longe
17;0.67;longe
17;0.68;longe
17;0.69;longe
17;0.7;longe
17;0.71;longe
17;0.72;longe
17;0.73;longe
17;0.74;longe
17;0.75;longe
17;0.76;longe
17;0.77;longe
17;0.78;longe
17;0.79;longe
17;0.8;longe
17;0.81;longe
17;0.82;longe
17;0.83;longe
17;0.84;longe
17;0.85;longe
17;0.86;longe
17;0.87;longe
17;0.88;longe
17;0.89;longe
17;0.9;longe
17;0.91;longe
17;0.92;longe
17;0.93;longe
17;0.94;longe
17;0.95;longe
17;0.96;longe
17;0.97;longe
17;0.98;longe
17;0.99;longe
18;0.5;longe
18;0.51;longe
18;0.52;longe
18;0.53;longe
18;0.54;longe
18;0.55;longe
18;0.56;longe
18;0.57;longe
18;0.58;longe
18;0.59;longe
18;0.6;longe
18;0.61;longe
18;0.62;longe
18;0.63;longe
18;0.64;longe
18;0.65;longe
18;0.66;longe
18;0.67;longe
18;0.68;longe
18;0.69;longe
18;0.7;longe
18;0.71;longe
18;0.72;longe
18;0.73;longe
18;0.74;longe
18;0.75;longe
18;0.76;longe
18;0.77;longe
18;0.78;longe
18;0.79;longe
18;0.8;longe
18;0.81;longe
18;0.82;longe
18;0.83;longe
18;0.84;longe
18;0.85;longe
18;0.86;longe
18;0.87;longe
18;0.88;longe
18;0.89;longe
18;0.9;longe
18;0.91;longe
18;0.92;longe
18;0.93;longe
18;0.94;longe
18;0.95;longe
18;0.96;longe
18;0.97;longe
18;0.98;longe
18;0.99;perto
19;0.5;longe
19;0.51;longe
19;0.52;longe
19;0.53;longe
19;0.54;longe
19;0.55;longe
19;0.56;longe
19;0.57;longe
19;0.58;longe
19;0.59;longe
19;0.6;longe
19;0.61;longe
19;0.62;longe
19;0.63;longe
19;0.64;longe
19;0.65;longe
19;0.66;longe
19;0.67;longe
19;0.68;longe
19;0.69;longe
19;0.7;longe
19;0.71;longe
19;0.72;longe
19;0.73;longe
19;0.74;longe
19;0.75;longe
19;0.76;longe
19;0.77;longe
